Name,Power,Role
TowMater,23541638,Coordinator
Fluffy Lover,15007179,Coordinator
Furiaaa,16541683,Starter
Stultitia,12175654,Starter
BryanV,11959785,Starter
bones,13798349,Starter
Armstrong jr XL,16444767,Starter
FRODO,15535104,Starter
Milos,12610497,Starter
sóc,12524891,Starter
ANH TUAN 1,13658552,Starter
Sunman,9012181,Starter
Nolie,11054319,Starter
Bakr,12618776,Starter
Nhi,11274585,Starter
Panh,15388229,Starter
Queen of Chaos,13028266,Starter
Draken,17097690,Starter
Wallerun I,8504943,Starter
AL0NE,8298779,Starter
SsOren,12667692,Starter
Alcar,14172407,Starter
Notor,13072944,Starter
SAMXINH,8982325,Starter
Gund,14151383,Starter
Akka,9999932,Starter
Sonk8,16925167,Starter
Dante,9732235,Starter
ClayFM,15035128,Starter
NECO,18193840,Starter
STEPHENлж,7143857,Substitute
reeeldid,9818044,Substitute
BáOo,15735057,Substitute
hungvv,15815812,Substitute
NevX,13503057,Substitute
Alak D,9675907,Substitute
TGL,12942780,Substitute
lml Keter lml,12137736,Substitute
Cowl,10595212,Substitute
